;Title;Author;Type;Venue;Year;;;
;On Adapting SNMP as Communication Protocol in Distributed Control Loops for Self-adaptive Systems;Ilja Shmelkin and Thomas Springer;Long paper;ACSOS;2021;;;
;FaaSRank: Learning to Schedule Functions in Serverless Platforms;Hanfei Yu, Athirai Irissappane, Hao Wang and Wes Lloyd;Long paper;ACSOS;2021;;;
;A Meta Reinforcement Learning-based Approach for Self-Adaptive System;Mingyue Zhang, Jialong Li, Haiyan Zhao, Kenji Tei, Shinichi Honiden and Zhi Jin;Long paper;ACSOS;2021;;;
;Runtime Equilibrium Verification for Resilient Cyber-Physical Systems;"Matteo Camilli, Raffaela Mirandola and Patrizia Scandurra
";Long paper;ACSOS;2021;;;
;Stochastic Switching of Power Levels can Accelerate Self-Organized Synchronization in Wireless Networks with Interference;Jorge Schmidt, Udo Schilcher, Arke Vogell and Christian Bettstetter;Long paper;ACSOS;2021;;;
;Many Models at the Edge: Characterizing and Improving Deep Inference via Model-Level Caching;Samuel S. Ogden, Guin R. Gilman, Robert J. Walls and Tian Guo;Long paper;ACSOS;2021;;;
;Swarmalators with Stochastic Coupling and Memory;Udo Schilcher, Jorge F. Schmidt, Arke Vogell and Christian Bettstetter;Long paper;ACSOS;2021;;;
;Causal Inference Techniques for Microservice Performance Diagnosis: Evaluation and Guiding Recommendations;Li Wu, Johan Tordsson, Erik Elmroth and Odej Kao;Long paper;ACSOS;2021;;;
;Towards Highly Automated Machine-Learning-Empowered Monitoring of Motor Test Stands;Diego Botache, Florian Bethke, Martin Hardieck, Maarten Bieshaar, Ludwig Brabetz, Mohamed Ayeb, Peter Zipf and Bernhard Sick;Long paper;ACSOS;2021;;;
;Timing configurations affect the macro-properties of multi-scale feedback systems;Patricia Mellodge, Ada Diaconescu and Louisa Jane Di Felice;Long paper;ACSOS;2021;;;
;LOS: Local-Optimistic Scheduling of Periodic Model Training For Anomaly Detection on Sensor Data Streams in Meshed Edge Networks;Soeren Becker, Florian Schmidt, Lauritz Thamsen, Ana Juan Ferrer and Odej Kao;Long paper;ACSOS;2021;;;
;A Self-Adaptive Load Balancing Approach for Software-Defined Networks in IoT;Ziran Min, Hongyang Sun, Shunxing Bao, Aniruddha Gokhale and Swapna Gokhale;Long paper;ACSOS;2021;;;
;To do or not to do: finding causal relations in smart homes;Kanvaly Fadiga, Ada Diaconescu, Jean-Louis Dessalles and Étienne Houzé;Long paper;ACSOS;2021;;;
;Building Reusable Repertoires for Stochastic Self-* Planners;Cody Kinneer, Rijnard van Tonder, David Garlan and Claire Le Goues;Long paper;ACSOS;2020;;;
;Reconfigurable Embedded Devices Using Reinforcement Learning to Develop Action-Policies;Alwyn Burger, David King and Gregor Schiele;Long paper;ACSOS;2020;;;
