ID;Observation;Title;Author;DOI/ISBN;Type paper;Application Domain;Type System;Type problem;Venue;Year;Description;Total observations;HRD;What;Type;How;X;Y;Z;N
1;1.1;Towards Meta-Adaptation Support with Reusable and Composable Adaptation Components;N. Gui and V. De Florio;10.1109/SASO.2012.11;;IT Infrastructure;Management;System Configuration;SASO;2012;Transformer – a framework for adaptation behaviour composition support based on reusable and composable adaptation components;2;A comparison between the number of components in a single graph. It compares the number of DSMC in an adaptation versus the time it takes to fuse adaptation plans for each N components.;Performance;Comparison;Line;Time;Amount;;1
1;1.2;Towards Meta-Adaptation Support with Reusable and Composable Adaptation Components;N. Gui and V. De Florio;10.1109/SASO.2012.11;;IT Infrastructure;Management;System Configuration;SASO;2012;Transformer – a framework for adaptation behaviour composition support based on reusable and composable adaptation components;2;A comparison between different fusion policies in a single graph. It compares the simulation time in minutes versus frame rate (frames/second) for each policy;Performance;Comparison;Line;Time;Framerate;;1
4;4.1;Reconfiguration Primitives for Self-Adapting Overlays in Distributed Publish-Subscribe Systems;E. D. Nitto, D. J. Dubois and A. Margara;10.1109/SASO.2012.27;;IT Infrastructure;Automation;System Configuration;SASO;2012;Primitives to fill gaps in execution phase of self-adapting overlays;6;A comparison between memory overhead with and without reconfiguration. It compares the number of brokers versus the traffic overhead in KByte;Performance;Comparison;Line;Amount;Resource;;3
4;4.2;Reconfiguration Primitives for Self-Adapting Overlays in Distributed Publish-Subscribe Systems;E. D. Nitto, D. J. Dubois and A. Margara;10.1109/SASO.2012.27;;IT Infrastructure;Automation;System Configuration;SASO;2012;Primitives to fill gaps in execution phase of self-adapting overlays;6;A comparison between memory overhead with and without reconfiguration of two bar charts. It compares different message logs verses the traffic overhead in Kbyte;Performance;Comparison;Bar;Type;Resource;;2
4;4.3;Reconfiguration Primitives for Self-Adapting Overlays in Distributed Publish-Subscribe Systems;E. D. Nitto, D. J. Dubois and A. Margara;10.1109/SASO.2012.27;;IT Infrastructure;Automation;System Configuration;SASO;2012;Primitives to fill gaps in execution phase of self-adapting overlays;6;An observation of the delay between publication in seconds versus the traffic overhead in Kbyte;Performance;Observation;Line;Time;Resource;;1
5;5.1;First step towards automatic correction of firewall policy faults;Fei Chen, Alex X. Liu, Jeehyun Hwang, and Tao Xie;10.1145/2240166.2240177;;IT Infrastructure;Automation;Error Detection/Security;TAAS;2012;Automatic correction techniques which correct faulty firewall policies;7;A comparison of different modification to firewall policy faults between different graphs. Each graph also compares a different number of faults. It compares the percentage of fixed policies versus the percentage of difference;Performance;Comparison;Line;Percentage;Percentage;;5
5;5.2;First step towards automatic correction of firewall policy faults;Fei Chen, Alex X. Liu, Jeehyun Hwang, and Tao Xie;10.1145/2240166.2240177;;IT Infrastructure;Automation;Error Detection/Security;TAAS;2012;Automatic correction techniques which correct faulty firewall policies;7;A comparison of different firewall policy faults within a single graph. It compares the number of firewall faults versus the average number of modifications;Performance;Comparison;Line;Amount;Average;;1
5;5.3;First step towards automatic correction of firewall policy faults;Fei Chen, Alex X. Liu, Jeehyun Hwang, and Tao Xie;10.1145/2240166.2240177;;IT Infrastructure;Automation;Error Detection/Security;TAAS;2012;Automatic correction techniques which correct faulty firewall policies;7;A comparison between the two used algorithms for fixing firewall policy faults. It compares the percentage of fixed policies versus the percentage of difference;Performance;Comparison;Line;Percentage;Percentage;;1
24;24.1;Towards Run-time Adaptation of Test Cases for Self-Adaptive Systems in the Face of Uncertainty;Erik M. Fredericks, Byron Devries and Betty H. C. Cheng;10.1145/2593929.2593937;;IT Infrastructure;Analytics/Control/Monitoring;Error Detection/Security;SEAMS;2014;Veritas - an approach to using utility functions to guide the test adaptation process;2;A comparison between a control and self-adaptive tester. The X-axis displays the type tested. The Y-axis displays the fitness score.;Performance;Comparison;Box;Type;Score;;1
24;24.2;Towards Run-time Adaptation of Test Cases for Self-Adaptive Systems in the Face of Uncertainty;Erik M. Fredericks, Byron Devries and Betty H. C. Cheng;10.1145/2593929.2593937;;IT Infrastructure;Analytics/Control/Monitoring;Error Detection/Security;SEAMS;2014;Veritas - an approach to using utility functions to guide the test adaptation process;2;A comparison between a control unit and a self-adaptive tester. The X-axis displays the type. The Y-axis displays the mean number of false negatives;Performance;Comparison;Box;Type;Average;;1
26;26.1;Automated Mining of Software Component Interactions for Self-Adaptation;Eric Yuan, Naeem Esfahani and Sam Malek;10.1145/2593929.2593934;;IT Infrastructure;Automation;Task Automation;SEAMS;2014;Self-adaptive behavior based on mining software component interactions;2;An observation of different concurrency settings. The X-axis displays the false positive rate. The Y-axis displays the true positive rate.;Performance;Observation;Line;Score;Score;;1
26;26.2;Automated Mining of Software Component Interactions for Self-Adaptation;Eric Yuan, Naeem Esfahani and Sam Malek;10.1145/2593929.2593934;;IT Infrastructure;Automation;Task Automation;SEAMS;2014;Self-adaptive behavior based on mining software component interactions;2;A comparison of different anomaly detection alogrithms. The X-axis displays the false positive rate. The Y-axis displays the true positive rate.;Performance;Comparison;Line;Score;Score;;1
33;33.1;A Mutual Influence Detection Algorithm for Systems with Local Performance Measurement;S. Rudolph, S. Tomforde, B. Sick and J. Hähner;10.1109/SASO.2015.23;;IT Infrastructure;Analytics/Control/Monitoring;Performance Optimization;SASO;2015;An algorithm to detect influences caused by local neighborship relations applied to a smart camera network;8;An observation of the pan influence on cameras. The X-axis displays the number of steps. The Y-axis displays the influence.;Performance;Observation;Line;Time;Score;;2
33;33.2;A Mutual Influence Detection Algorithm for Systems with Local Performance Measurement;S. Rudolph, S. Tomforde, B. Sick and J. Hähner;10.1109/SASO.2015.23;;IT Infrastructure;Analytics/Control/Monitoring;Performance Optimization;SASO;2015;An algorithm to detect influences caused by local neighborship relations applied to a smart camera network;8;An observation of the tilt influence on cameras. The X-axis displays the number of steps. The Y-axis displays the influence.;Performance;Observation;Line;Time;Score;;2
33;33.3;A Mutual Influence Detection Algorithm for Systems with Local Performance Measurement;S. Rudolph, S. Tomforde, B. Sick and J. Hähner;10.1109/SASO.2015.23;;IT Infrastructure;Analytics/Control/Monitoring;Performance Optimization;SASO;2015;An algorithm to detect influences caused by local neighborship relations applied to a smart camera network;8;An observation of the zoom influence on cameras. The X-axis displays the number of steps. The Y-axis displays the influence.;Performance;Observation;Line;Time;Score;;2
